"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login Feature","0","","1","0","TC_13 - Wrong username","0"
"0","Login Feature","0","","1","0","TC_05 - error_user login","0"
"0","Login Feature","0","","1","0","TC_08 - locked_out_user wrong password","0"
"0","Login Feature","0","","1","0","TC_01 - standard_user login","0"
"0","Login Feature","0","","1","0","TC_10 - performance_glitch_user wrong password","0"
"0","Login Feature","0","","1","0","TC_03 - problem_user login","0"
"0","Login Feature","0","","1","0","TC_06 - visual_user login","0"
"0","Login Feature","0","","1","0","TC_07 - Wrong password","0"
"0","Login Feature","0","","1","0","TC_04 - performance_glitch_user login","0"
"0","Login Feature","0","","1","0","TC_12 - visual_user wrong password","0"
"1","Login Feature","0","","0","0","TC_02 - locked_out_user login","0"
"0","Login Feature","0","","1","0","TC_14 - Wrong username and password","0"
"0","Login Feature","0","","1","0","TC_11 - error_user wrong password","0"
"0","Login Feature","0","","1","0","TC_09 - problem_user wrong password","0"
